,project_code,standardized_text,Target_Vector,transformed_column,Predicted_Vector
71,2012.1.01004.S,evolution of molecular clouds in the superwind of the starburst galaxy ngc we propose observations of the nearby starburst galaxy ngc the aim is to map the distribution of the molecular gas traced with the co j line and dust in order to study the molecular gas outflow galactic superwind in high resolution and sensitivity the proposal addresses the energetics of the outflow which can be derived from the outflow mass and velocity and also the environmental effects in the galactic disk the dynamics of giant molecular clouds in the unusually gas rich bar star formation in the central region and in the bar as well as the fueling of the central region studying galactic superwinds is important for galaxy evolution because the major feedback of the starburst phenomenon is the enrichment of the intergalactic medium with heavy elements and star formation induced by shocks from large scale winds of hot gas the galaxy is a good target for our science goals and because of its moderate inclination and low declination,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005862129852175713, 0.5608632564544678, 0.03555922955274582, 0.013506025075912476, 0.25682973861694336, 0.08598768711090088, 0.024650558829307556, 0.01031094416975975, 0.006430372130125761]"
72,2012.1.01022.S,an off nuclear starburst in the luminous ir galaxy iizw the infrared luminous galaxy merger iizw contains an extremely compact off nuclear starburst that is the source of more than of the total infrared luminosity iizw is a rare example of a galaxy caught in the early merger stage of driving its vast reservoirs of molecular gas inward toward what will become the merger remnant and is reminiscent of the more famous merging galaxy ngc the antennae but an order of magnitude more luminous at log lir lsun we propose to map the off nuclear starburst on spatial scales of over the entire starburst region given the small spatial extent and the need for extremely high sensitivity and spatial resolution we request observations in the most extended configuration of band to trace the molecular gas via co j hco j and ch oh j and to measure the um dust continuum all on scales of pc kpc the resulting high spatial resolution maps will allow comparisons between the distribution of the bulk of the molecular gas via co j and dust at um the location of higher density clumps from hco j and ch oh j and structures seen in the near infrared the velocity will reveal possible infall or outflows of gas as well as pinpoint the dynamical center and how it relates to the density and temperature of the gas together the morphology and kinematics of the dense cool molecular gas that dominates the mass and fuels the star formation will reveal the precise nature of the starburst and ultimate fate of the system,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.006000022403895855, 0.4343557357788086, 0.04195825010538101, 0.01518826000392437, 0.33031776547431946, 0.12798592448234558, 0.025106726214289665, 0.01174011081457138, 0.007347262930124998]"
73,2012.1.01111.S,carbon cii at z on a quadruply imaged lensed galaxy behind the clash cluster macs a large number of galaxies have been discovered at z using space and ground based facilities the majority of which are very faint in the optical ir and the detection of lyman alpha emission to confirm their redshift has been a challenging task a more complete study of these distant galaxies is needed given their nature holds clues about the end of the epoch of reionization offers new possibilities to study such galaxies via bright emission lines such as cii here we propose band observations of cii in a quadruply imaged lensed lae at z for which high magnification and detailed lens models enable a comprehensive study of its properties our goals are i to use cii as a critical probe of the interstellar medium in a z galaxy ii to estimate how effective the line is as a coolant for the ism compared to other galaxy populations at similar redshifts based on l cii l fir ratios iii to place constraints on the total amount of gas in this galaxy by comparing the dynamical mass from the cii line width with the stellar mass obtained from the optical data iv to assess whether this metal poor z galaxy demonstrates an enhancement of the cii emission compared to lower redshift metal rich star forming galaxies v to open up a new window to reveal the nature of these yet unexplored galaxy population enabling studies of statistical samples and detailed studies with high resolution observations,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.00793194305151701, 0.3567897379398346, 0.06482978165149689, 0.023450367152690887, 0.32977494597435, 0.1451730877161026, 0.04307132214307785, 0.017442496493458748, 0.011536374688148499]"
74,2013.1.00014.S,how big is the agn obscuring torus unification of active galactic nuclei agn is based on toroidal obscuration of the nuclear activity which is powered by accretion onto a supermassive black hole understanding of the nature and origin of the obscuring torus requires reliable measurements of its size to determine whether it is within the gravitational sphere of influence of the black hole or of the galactic bulge thanks to its high spatial resolution and sensitivity to the thermal dust emission only is capable of determining the torus end point here we propose observations of the archetypal seyfert galaxy ngc in bands and to measure the radius of the obscuring torus and determine the radial profile of the toroidal cloud distribution according to our radiative transfer calculations these bands are within the wavelength range where the differences between continuous and clumpy torus models are maximized indeed detailed simulations of the proposed observations show that by measuring the extent of continuum emission we will be able to assess the torus structure and distinguish between proposed models for the agn torus,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.006549764424562454, 0.2870667576789856, 0.041240036487579346, 0.016442466527223587, 0.4146730303764343, 0.18433761596679688, 0.02806098945438862, 0.013762454502284527, 0.007866942323744297]"
75,2013.1.00025.S,the origin of debris rings planets or gas imaged in scattered light the bright dust rings around the myr old stars hd and hr a appear unusually narrow with steep radial brightness profiles compared to other disks and theoretical expectations the origin of these rings is unknown they may be true debris disks where dust is created in collisions between large planetesimals but may be a product of dust gas interaction both disks also show departures from symmetry that may indicate the dynamical influence of planets but could alternatively arise from dust gas interaction these scenarios have observable differences which can only be tested with we propose to use for h to image these two sub mm bright rings to i compare their radial extent to the scattered light emission to distinguish between collisional debris and gas driven ring scenarios ii conclude whether the rings are truncated by planets iii use observed asymmetries to draw conclusions about the possible dynamical influence of planets and iv detect co gas that may point to a gas driven scenario these results will shed light on the status of planet formation at myr shortly after dispersal of the gaseous protoplanetary disk,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.005689339712262154, 0.034032803028821945, 0.017014436423778534, 0.010272081941366196, 0.6329605579376221, 0.26770636439323425, 0.0146905817091465, 0.01250117365270853, 0.005132603924721479]"
76,2013.1.00033.S,the role of infrared radiative pumping for molecular gas emission in agns we propose to thoroughly investigate the strengths of the vibrationally excited v f rotational j transition lines of hcn hco and hnc lines in the two agn hosting narrow molecular line luminous infrared galaxies which show detectable hcn v f j emission lines our immediate objective is to investigate whether an infrared radiative pumping mechanism indeed works more effectively for hcn than hco and hnc and is responsible for the enhanced hcn emission observed in agns as proposed by theories s high spatial resolution arcsec is crucial to probe only agn affected molecular gas emission at galaxy nuclei with minimum contamination from spatially extended starburst activity in host galaxies s high sensitivity better than a few mjy noise level is indispensable to clearly address this issue our ultimate scientific goal is to establish a physically understood reliable tool to separate agns from stabursts using bright sub millimeter molecular emission lines which can be used to understand the physical nature of dust gas rich infrared luminous galaxies from the local to distant universe,"[0.0, 0.0, 0.0, 0.0, 0.5789473684210527, 0.42105263157894735, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.007416053209453821, 0.5630545616149902, 0.0756271481513977, 0.023537537083029747, 0.17555631697177887, 0.08144861459732056, 0.04603691026568413, 0.015790114179253578, 0.011532710865139961]"
77,2013.1.00039.S,a fine structure line survey to determine the metallicities of the earliest galaxies with a modest survey of the four bright far ir fine structure lines nii and micron oi micron and cii micron we will characterize the gas in ionized and photo dissociated regions in a set of four star forming galaxies at z we will establish the density of the ionized and photo dissociated gas regions characterize the intensity of the far uv radiation and constrain the numbers of lyman continuum photons this will provide new insight into the first chapters of galaxy evolution by determining star formation rates the spatial extent of star formation and nitrogen to carbon abundance ratios which will give the first unambiguous indications of metallicity in galactic ionized regions within gyr of the birth of the universe,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0060167876072227955, 0.2830997109413147, 0.04503663256764412, 0.017080599442124367, 0.4235749840736389, 0.17557655274868011, 0.027961235493421555, 0.01340127270668745, 0.008252160623669624]"
78,2013.1.00058.S,unveiling molecular gas in local galaxies from the herschel atlas we wish to use to obtain the first spatially resolved and sensitive imaging of the ci and co lines in a sample of nearby z herschel astrophysical terahertz large area survey h atlas galaxies detected by their dust content in order to trace their molecular hydrogen content a key problem in astronomy is how to reliably measure the amount of h in galaxies since a significant proportion may be missed when observed via the traditional tracer the co molecule with the new band receivers we will be able to carry out the first observations of the ci fine structure line of atomic carbon in a sample of galaxies in the nearby z universe and together with the standard tracer co will be able to address a whether molecular gas in nearby galaxies is well traced by co or whether ci is a better tracer of the bulk of the h b how the molecular gas mass and corresponding gas to dust ratio in nearby galaxies vary with properties such as hubble type metallicity sfe dust properties and c it will contribute to an innovative method to calibrate dust as a tracer of gas and obtain molecular gas masses for galaxies out to z ,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.007802210282534361, 0.3556649088859558, 0.07326868176460266, 0.02473100647330284, 0.3102538287639618, 0.1508420705795288, 0.04802234470844269, 0.017623750492930412, 0.011791152879595757]"
79,2013.1.00070.S,a survey of carbon rich circumstellar envelopes to date most of our knowledge on circumstellar chemistry of carbon rich envelopes is based on the results obtained towards a single object irc in order to obtain a more general knowledge of the chemistry in these envelopes we intend to use to perform a spectral line survey in the mm band of a sample of carbon stars including iras iras iras and afgl single dish spectral line surveys in the mm band have been performed of all stars in the sample the physical characteristics of the envelopes are similar but there are more than an order of magnitude variation in abundances of some species such as sio sic c h and c h woods et al the abundance calculations in woods et al however suffered from the assumption that the emitting regions had the same morphology and size as in irc to determine accurate molecular abundances we need the spatial information of the emitting regions in the objects in the sample the data will be used as input for models developed by members of the team to determine the physical characteristics and chemistry of the circumstellar envelopes of the objects in our sample,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005730587989091873, 0.1611022651195526, 0.03290758281946182, 0.013364778831601143, 0.5509276986122131, 0.1946081519126892, 0.022189488634467125, 0.012529687024652958, 0.006639729719609022]"
80,2013.1.00091.S,are the azimuthal asymmetries of transition disks particle traps circumstellar disks around young stars are known to be the birthplaces of planets planet formation starts with the coagulation of dust particles to larger dust aggregates however after many decades of research it is still an enigma how nature manages to overcome the meter size barrier at sizes beyond about millimetre at au distances the particles acquire high radial drift velocities and high collision speeds leading to destruction and loss in recent years the concept of particle traps has gained popularity as a possible solution to this problem large scale pressure bumps such as vortices can attract and trap dust particles and provide a calm localised environment where dust growth proceeds very effectively this idea can be tested with in cycle our program aims to investigate the process of dust trapping in the transition disks around sr s and lkha with two observations per source at ghz band and at ghz band we will test the theoretical predictions for the azimuthal profile of the spectral index and the gas density distributions a confirmation would lend credence to the notion that planetesimals form in very localised hotspots,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0066257668659091, 0.06011684611439705, 0.023650435730814934, 0.01421426236629486, 0.5713272094726562, 0.28288379311561584, 0.018914951011538506, 0.01505579799413681, 0.007210972253233194]"
81,2013.1.00096.S,the lowest metallicity molecular clouds the structure of star forming clouds at low metallicity is predicted to be different from that at high metallicity as the metallicity drops the cold and dense co emitting part of a cloud where stars form shrinks relative to the warm photo dissociation region pdr around it the h part can become much more extensive than the co and the hi layer around all of this can be more extensive still we propose to obtain co maps of metal poor dwarf galaxies that span a range of metallicity down to of solar for these regions we also have herschel maps of the pdrs and vla maps of hi at high spatial and velocity resolution that show the cloud and its relation to the rest of the galaxy the sequence of molecular clouds at decreasing metallicity will show us the changing cloud structures and allow us to calibrate the co fractional mass we will also address the question of what effect the shifting boundary between hi pdr and co has on the star formation rate per molecule these data will test star formation models that include the formation of h and will improve our understanding of star formation in the metal poor early universe,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0057423897087574005, 0.11522399634122849, 0.026052076369524002, 0.012408732436597347, 0.5875879526138306, 0.21434202790260315, 0.019770240411162376, 0.012276873923838139, 0.00659579923376441]"
82,2013.1.00114.S,origins of h co in protoplanetary disks organic ices are the expected major reservoirs of volatile organic material in protoplanetary disks their distributions across disks are key to predict the organic composition of planetesimals and thus the likelihood of organic delivery to terrestrial planets h co is the only detected molecule in disks that may directly probe this reservoir of organic ices h co can form together with ch oh through co ice hydrogenation and this pathway followed by non thermal desorption is the proposed dominant origin of observed h co gas in disks we propose to constrain the relative importance of ice and gas formation pathways of h co in the protoplanetary disk tw hya by imaging the h co gas distribution with respect to the known co snowline location at au and determining the h co ch oh abundance ratio if h co gas originates from h co ice it will only be present in a ring with the inner edge at the co snowline and h co ch oh in contrast if h co is mainly a gas phase product it will present a centrally peaked emission profile and h co ch oh the proposed observations will thus directly teach us what the origins of h co in disks are,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.01219091285020113, 0.12489000707864761, 0.06537181884050369, 0.037010110914707184, 0.41297823190689087, 0.24839314818382263, 0.04729624092578888, 0.030771439895033836, 0.021098114550113678]"
83,2013.1.00122.S,mapping the gas in ii zw we propose to map co co and continuum in the dwarf starburst galaxy iizw which appears to be highly efficient at forming stars the goals are to determine gas masses to constrain the star formation efficiency and to look for evidence of radiative feedback in the form of hot co bright gas mapping at subarcsecond resolution is critical in the determination of efficiencies and line ratios,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006652656942605972, 0.7084394693374634, 0.04304707795381546, 0.01469373982399702, 0.13736365735530853, 0.044954389333724976, 0.02611418068408966, 0.011180694214999676, 0.007554193958640099]"
84,2013.1.00146.S,a molecular deep field in the udf to date our understanding of the molecular gas content in high redshift galaxies is fundamentally limited by pre selection of the galaxies at other wavelengths optical nir ir sub millimeter radio to overcome this we propose an unbiased molecular deep field co spectral scan of band covering all z in the hubble ultra deep field we will reach a molecular mass limit that is an order of magnitude deeper than previously possible below the expected knee of the co luminosity function we expect to detect galaxies both in line and continuum and these detections will be compared to our detailed sed modeling of all galaxies in the udf our analytic empirical models that build on our current understanding of high redshift molecular gas and the latest adaptive moving mesh cosmological hydrodynamic simulations that include molecular gas stacking both d and d will push the statistical detection of sources to unprecedented depths in summary we will put unbiased observational constraints on the redshift dependent co luminosity function and meaningfully constrain the cosmic evolution of the universal molecular gas density for the first time,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006703871302306652, 0.6496192812919617, 0.04778243601322174, 0.01612834632396698, 0.17011897265911102, 0.05674644187092781, 0.03358431160449982, 0.011848216876387596, 0.0074681066907942295]"
85,2013.1.00149.S,rosette globulettes the total number of unbound low mass free floating planetary mass objects in interstellar space in the milky way could several hundred billions gahm et al proposed that globulettes could be one source seeding the milky way with these low mass objects globulettes are extremely small average size kau round and cold molecular clumps of planetary to brown dwarf mass that are silhouetted as dark spots against the background of nebular emission in expanding h ii regions surrounding massive star forming regions we have studied the rosette nebula globulettes using nir imaging and sub mm molecular line observations the strong co emission observed in the globulettes encourages us to continue the studies using we want to observe two small size globulettes in co and transitions and isotopologues the data will be analyzed using d non lte radiation transfer program and with an advanced astrochemical sc d pdr code we will be able to produce unprecedentedly seen synthetic observations which will be compared with the observational data thus offering a deeper understanding of the physical and chemical properties of globulettes,"[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.00617732759565115, 0.2261558324098587, 0.041730865836143494, 0.017260557040572166, 0.47279947996139526, 0.1904558390378952, 0.025074558332562447, 0.01287114154547453, 0.007474423386156559]"
86,2013.1.00171.S,cold gas in agns hosts walking along the main sequence of star forming galaxies probing the properties of the molecular gas reservoir is a key ingredient of galaxy evolutionary studies it is out of this gas that ultimately stars are formed an open question is what is the role of black holes in the evolution of the gas content of their hosts previous co studies of agns have been focused on bright quasars whose hosts are well above the main sequence but most of z agns and star forming galaxies are actually located in this main sequence the main goal of this proposal is to use to address the scientic question does the presence of an active smbh affect the cold gas content of main sequence galaxies at z we propose to measure the co in a representative sample of main sequence z agns the measure will allow us to a compare the star formation efficiency of main sequence galaxies hosting agns with that of inactive galaxies and verify if agn feedback is modifying the star formation process in its host e g positive feedback b compare the gas fraction of these active galaxies with that measured for inactive galaxies and test if the molecular gas content in smbhs hosts has changed due to agn feedback,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.00655354093760252, 0.7191495895385742, 0.04420521855354309, 0.014326309785246849, 0.1267787218093872, 0.040255241096019745, 0.030696526169776917, 0.010446320287883282, 0.0075886305421590805]"
87,2013.1.00183.S,the pre stellar core mass function with deuterium chemistry in an infrared dark cloud similarities between the shapes of the core mass function cmf and the stellar initial mass function have been noted which may reveal a fundamental aspect of the star formation process however the relation of these cores typically observed via their dust continuum emission and the pre stellar cores psc that will actually form stars is unclear here we propose to measure the psc mass function by mapping n d over a contiguous region of an irdc that we have already observed in n h with carma and in which we have already identified at least two relatively massive n d pscs with in cycle we expect to identify n d cores and measure masses via mm continuum emission mid infrared extinction and virial methods we will carry out astrochemical modeling of the cores to estimate deuteration ages which can help de bias the observed psc mass function to obtain the true psc mass function we will also study the chemical evolution from pscs to protostellar cores finally we will measure core to core kinematics and compare with simulations of molecular cloud turbulence,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.005189010873436928, 0.06571438908576965, 0.01926368661224842, 0.009471405297517776, 0.6744756698608398, 0.19593742489814758, 0.014147249050438404, 0.010703202337026596, 0.0050979433581233025]"
88,2013.1.00196.S,the protosolar nebula heritage measuring the nitrogen isotopic ratio in disks in which forms were the chemical elements incorporated in the solar system this broad topic is at the crossroads of several fields of investigation cosmochemistry astrobiology and astrophysics because models are not able to follow the abundances of chemical species along the molecular cloud to star and planet forming sequence this question can only be tackled observationally using ratios of stable isotopes has the potential to revolutionize the question of our origins by allowing us to trace our chemical history back into our parental and dispersed molecular cloud this proposal focusses on nitrogen a key element for terrestrial life for which interstellar chemistry provides a consistent view of the isotopic ratios measured in embryos of star forming regions and in the protosolar nebula yet one crucial measurement in the foregoing sequence is lacking which may be key to the emerging picture of the chemical heritage of the protosolar nebula namely the nitrogen isotopic ratios in circumstellar disks we propose to perform the first measurement of the n n ratio in the tw hya disk using cn as a carrier which is the best tracer of the bulk isotopic ratio,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.008780034258961678, 0.09890580177307129, 0.04234090819954872, 0.021575141698122025, 0.47988247871398926, 0.2829963266849518, 0.03325800597667694, 0.02044108882546425, 0.01182016171514988]"
89,2013.1.00210.S,unveiling the building elements of nearest and youngest starburst galaxy ngc the nearest and youngest starburst galaxy ngc is the most suitable target for understanding the intense massive star formation and their stellar feedback in a nuclear starburst system we aim to unveil the molecular and ionized gas structure around the very young massive super stellar clusters sscs known to co exist in the central starburst in ngc monreal ibero et al suggested a scenario that the outflow of the ionized gas from the central sscs expels the ambient gas outwards and encounters with the quiescent gas shell which is likely the site for formation of subsequent generation of stars we have confirmed with our pilot sma co observations that the molecular gas is associated with the central sscs but the spatial velocity resolution is insufficient to verify their scenario we propose to observe at pc resolution the co emission which is a tracer of the parental molecular gas of the sscs and hydrogen recombination line h alpha to study the structure of the ionized gas around those sscs and cs for shocked dense gas by interaction between the expanding ionized gas and ambient gas,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.006288527976721525, 0.6014807820320129, 0.03676055744290352, 0.014466831460595131, 0.22856731712818146, 0.06790177524089813, 0.02677040919661522, 0.011026358231902122, 0.006737482734024525]"
90,2013.1.00211.S,x marks the spot outflow infall interaction in b we propose to observe the central region of the isolated class prototar b with a point mosaic in band with an angular resolution of which corresponds to spatial scales of au at the source distance to obtain detailed information on the physical and dynamical properties of the infalling circumstellar envelope and of the outflow infall interaction our final goal is to highlight the interaction between the outflow and the accreting envelope close to the protostar where outflows could actually reverse and end the infall of material preventing further growth of the central protostar this will give insights into the important role that the outflow envelope interaction plays in the mass assembling process and in determining the final mass of the forming star different outflow and high density tracers co co c o h co cs and ch oh together with the continuum will be observed to probe different density and kinematic regimes trace the morphology and kinematics of the outflows the physical properties of the outflow cavity walls and the impact of the outflow on the envelope and the distribution of the infalling gas and its interaction with the outflow,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.005591967608779669, 0.07715640962123871, 0.020280612632632256, 0.010825389996170998, 0.626262366771698, 0.22759881615638733, 0.014768577180802822, 0.011644999496638775, 0.005870860069990158]"
91,2013.1.00247.S,agn feedback in action the molecular outflow in the nearest active galactic nucleus galactic winds outflows are poorly understood although they are essential to feedback processes that quench star formation and limit the total mass of large galaxies in today s universe thus insufficient understanding of feedback associated with them in particular of the molecular phase is one of the greatest shortcomings in our knowledge of galaxy evolution outflows associated with galactic winds are fueled by both starbursts and agn and the ways in which the two winds differ is unknown and can only be gleaned through observations of both modeled after previous successful observations of a starburst driven wind with hours of time on source we will observe the agn driven wind within the central of circinus the nearest seyfert galaxy we will assess the morphology and kinematics of the molecular wind and estimate the molecular outflow rate,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006124014966189861, 0.5182088017463684, 0.042881712317466736, 0.015953265130519867, 0.27510955929756165, 0.0945352241396904, 0.028131216764450073, 0.011358018033206463, 0.0076981279999017715]"
92,2013.1.00259.S,resolving the characteristics of qso and optically obscured smg pair in br at z we request for hours of cycle observation time as to detect for hcn and hco line for the first time from the pair of a quasar and an optically obscured agn in br z system one of the fundamental studies in galaxy formation and evolution is to understand how massive galaxies have formed and quasars and smgs in high z are likely to represent the archetypes of present day massive galaxies but the exact fuelling mechanism is yet well understood a good probe to understand this is to use dense gas tracer of hcn hco as they are tightly correlated with star formation rate br consists of one optically invisible smg quasar pair and two lyman alpha emitters near the quasar this system will be the most ideal object to probe dense gas properties in different stages of galaxy evolution with the proposed observation the immediate objects are i to characterise the dense gas tracers in the br for the first time ii to produce radiation field models of smg and the quasar in br groups even a non detection would provide the strongest limit on dense molecular gas mass fraction of ,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006950180046260357, 0.7350594401359558, 0.05049022287130356, 0.017022717744112015, 0.10035673528909683, 0.03502333164215088, 0.035512689501047134, 0.011962968856096268, 0.007621760480105877]"
93,2013.1.00260.S,fragmentation rotation and infall of a massive disk understanding the fragmentation rotation and infall properties of disks around young high mass stars remains one of the key questions in star formation research the unique capabilities of allow us to probe the physical properties of the gas and dust in the inner envelope and disk region around the central high mass star specifically using the high frequency band receivers with km baselines at a spatial resolution of we can for the first time resolve the predicted fragmentation scales on the order of several hundred au simultaneously we can study the gas infall rates via absorption line studies against the bright submm continuum emission therefore we propose to observe one of the best lsun high mass disk outflow candidates g at ghz in continuum and spectral line emission important questions which these observations will address are what are the fragmentation properties of this massive disk candidate how large are the infall rates close to the protostar are the kinematic properties of the disk like structure of keplerian nature or still dominated by a flattened envelope are the outflow properties related to those of the accretion disk,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.005759167484939098, 0.04505990818142891, 0.018758831545710564, 0.010039258748292923, 0.6443491578102112, 0.2436344176530838, 0.014675275422632694, 0.012095797806978226, 0.005628165788948536]"
94,2013.1.00271.S,sub kpc kennicutt schmidt star formation law in luminous infrared disks we propose to obtain sub arcsec resolution co images of two nearby luminous infrared galaxies lirgs covering the high density msun yr kpc regime of star forming clumps the galaxies are representative of the class of extended kpc luminous star forming rotating disks accurate star formation surface densities on kpc scales already exist based on our pa alpha hst imaging and br gamma sinfoni vlt maps the proposed observations will provide a direct measurement of the molecular gas surface densities of the star forming clumps and inter clump medium on scales of hundred parsec our extinction corrected star formation and the derived molecular gas densities will determine for the first time the kennicutt schmidt law on sub kpc scales for lirgs i e sampling the regime of large sf regions with high star formation surface densities this important class of galaxies that are among the most luminous starbursts in our nearby universe also represent the closest analogs of the high z clumpy star forming extended disks thus the proposed observations bridge the gap between local spirals and star forming galaxies at cosmological distances,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.00617386307567358, 0.5257792472839355, 0.037085939198732376, 0.01389259286224842, 0.29025328159332275, 0.08367479592561722, 0.025319287553429604, 0.010935102589428425, 0.00688584940508008]"
95,2013.1.00279.S,a complete line survey observation in the mm band toward ngc for diagnosing the power source in galactic nuclei we propose to obtain high resolution images of molecular distribution from a complete line survey observation in mm band toward ngc the chemical properties have been expected to be powerful astrophysical tools for the study of galaxies because the molecular line observations of different galaxies allow us to study the effects of these different physical properties activities on the molecular medium so far some groups have suggested that it is possible to diagnose power sources in dusty galaxies using molecular line ratios it is the workable strategy to clarify the relationship between the physical properties and the chemical markers in nearby galaxies in order to understand the power source of distant and dusty galaxies using the molecular lines we carried out the line survey toward ngc with the nobeyama m telescope and also our cycle pi s takano and cycle pi s takano proposals toward ngc in mm band were accepted and we already received cycle data therefore we can combine these data and we will obtain the complete line survey toward ngc in mm band,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.006585224065929651, 0.6054969429969788, 0.0617297999560833, 0.019368713721632957, 0.16995365917682648, 0.0700794905424118, 0.04291721433401108, 0.014099199324846268, 0.009769783355295658]"
96,2013.1.00291.S,the emergent low mass cluster b how to beat magnetic fields b is the only star forming site in the quiescent and magnetized pipe nebula it contains a small cluster of low mass protostars and a very twisted magnetic field in comparison with the more pristine regions of the cloud we propose to perform a detailed dynamical study of b using linear polarization observations these data will reveal the magnetic field morphology in sources in b wich are at distinct evolutionary stages class i and ii we want to trace the evolution of the magnetic field properties in the three stages we expect to resolve the field morphology at the dust envelope of class objects and at the circumstellar disks at class i and ii objects since all targets belong to the same low turbulent parental cloud we will be able to test predictions of magnetized molecular cloud models as a complement molecular line data will trace the kinematics of the cores in order to better constrain the possible ambiguity of projection effects in the polarization data,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.005344549659639597, 0.13358046114444733, 0.021474450826644897, 0.01014261320233345, 0.6265764236450195, 0.17046412825584412, 0.016985753551125526, 0.010343062691390514, 0.005088589154183865]"
