project_code,standardized_text,Target_Vector
2015.1.01558.T,particle acceleration in grb afterglows grbs are powered by stellar mass black holes that eject matter at ultra relativistic velocities this makes them ideal laboratories to study particle acceleration processes up to now the swift satellite has detected grb afterglows but only were bright enough for extensive follow ups from radio to x ray wavelengths to provide crucial constraints on the radiation processes these analyses were however limited to bright afterglows which could introduce a bias in the relative importance of different radiation processes thanks to s supreme sensitivity both the peak and the faint end of the grb luminosity function could now be probed at sub mm wavelengths we propose to observe one grb with a peak flux of µjy at and ghz at different epochs each the peak flux is about dex fainter than of previously studied grbs and more representative of the bulk of the grb population we will complement these observations with optical and nir data to model the broadband spectral energy distribution we will identify the dominant radiation process and characterise its key properties study the ambient density profile and the dynamics of the ultra relativistic jet,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01569.S,co vs ci in henize an alternative tracer to co of molecular gas that has received increasing attention in recent years is atomic carbon ci in particular the ground state fine structure line ci at ghz hereafter ci has shown to be a good tracer of molecular gas in galactic giant molecular clouds gmcs where a linear correlation has been found between ci and co isotopologues ci and co have also been found to coexist in external galaxies e g gerin phillips yet due to the poor transparency of the earth s atmosphere at ghz studies of ci in external galaxies are rare but with this no longer need be the case with s remarkable sensitivity we can conduct extragalactic ci observations in a reasonable amount of time in this proposal we seek to observe the starburst dwarf galaxy he in both ci and co with the objective of doing a detailed comparison of the molecular tracers we expect to identify at least co and ci gmcs this would be the largest systematic study to date which compares co and ci in the same dwarf galaxy on a systematic basis,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01571.S,statistical nature of the class i ch oh maser clumps in high mass star formation we propose high resolution molecular line observations toward ghz class i ch oh maser sources to investigate the physical environment of shocked regions traced by ghz class i ch oh masers previous interferometric studies of class i ch oh masers suggests that the masers trace the shocked gas in the dynamical structures in star forming region such as outflows hii regions and the cloud cloud collision however the detailed kinematics and physical environment of the region where the masers arise are still unclear due to the scarcity of high resolution data of shock tracers and masers from we started observations of mysos associated with ghz ch oh masers with kava and this sample will give a unique chance to study the detailed information of physical environment of the shocked regions where maser arises by comparing high resolution observations of shock tracers to vlbi images of masers we will observe co and h a to trace the outflows and hii regions sio to trace shocked molecular gas to compare the physical properties of shocked region with each maser features observed with vlbi the high spatial resolution and the high sensitivity of is inevitable,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01572.S,agn feedback and its role in galaxy evolution gas and stellar kinematics of radio loud early type galaxies galaxy formation theories struggle to explain the quenching of star formation and the formation of sub structures in early type galaxies etg the solutions to both problems may well be connected molecular gas can feed active galactic nuclei and generate feedback while also leading to new decoupled stellar components we have already obtained vlt vimos integral field unit spectroscopy and co line observations with apex for a complete volume limited z sample of southern radio galaxies here we request follow up co imaging of the objects rich in molecular gas our targets differ from etgs studied previously at similar spatial resolution pc being significantly more massive and harbouring active jets we will thus be able to isolate the role played by jets likely the dominant feedback mode in local etgs in the overall formation and evolution of etgs is essential and ideal for the proposed mapping and using atlas d as a radio quiet control sample our sample is appropriately sized for a first study aiming to identify and contrast trends,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01576.S,probing episodic accretion in very low luminosity objects we propose to observe n h and c o toward eight very low luminosity objects vellos our goal is to probe episodic accretion which is used to answer the long standing luminosity problem kenyon et al episodic accretion models consider that a protostar is at a quiescent accretion status for most of time and accretion bursts occasionally occur to deliver material onto the central star the accretion luminosity of a protostar undergoing episodic accretion process will vary through an accretion burst it is difficult to detect a significant variation of luminosity since the timescale for an accretion burst is very short however the luminosity variation can be found in the chemical vestige the n h depleted hole toward a source center can be caused by an increase of luminosity and it can preserves for a long time after the accretion luminosity decay therefore studying n h depletion provides us an opportunity to identify a protostar which has experienced an accretion burst and explore evidences of episodic accretion process,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01577.S,probing the in fall disk in the giant elliptical galaxy ngc please note this is a request finish an already started and mostly completed project many large elliptical galaxies contain embedded disks of dust and gas remnants of a merger with a smaller gas rich galaxy the physical properties of such disks and the resulting initial conditions for star formation are very different from those in disk galaxies and starburst galaxies we will study these in detail by modelling the molecular gas in the embedded dusty gas disk dark band of the only nearby giant elliptical ngc centaurus a we will apply pdr and radiative transfer models to the co and co j and j line transitions in maps of pc resolution over the inner several kpc of the galaxy we will specifically deduce the gas mass and temperature for individual clumps and the whole disk as a function of radius and investigate the relation of the dense molecular gas conditions to the enhanced star formation in the disk the proximity of ngc and its present evolutionary stage about halfway between acquisition and final consumption of a gas rich galaxy provide a unique opportunity to study an advanced merger state in detail,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01578.S,resolving water emission in the early universe we propose to detect and image water lines and infrared luminosity in three lensed starforming galaxies at z from the spt survey with the lensing we will achieve kpc spatial resolution in the source plane this will be the first time water is spatially resolved in galaxies at high redshift we will test the recently observed and remarkable linearity of the l h o l ir correlation,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01580.S,the fine structure of an extreme lensed starburst galaxy at z we propose to observe a full diagnostic suite of five far ir fine structure lines in an extraordinary starburst galaxy at the end of cosmic reionization through the power of gravitational lensing our observations will measure the metallicity radiation field density kinematics and agn effects with effective resolution of a few hundred parsecs which has only been possible to date in the nearest star forming galaxies spt at z already has high resolution maps of the dust continuum and low j co emission as well as integrated measurements of mid j co cii and full radio to ir sed coverage these observations effectively complement herschel studies of local ulirgs and extend the study of these lines to the first gyr of cosmic history the high sensitivity high resolution studies made possible by will address several key questions about the first stages of galaxy evolution including the production of heavy elements stellar and agn feedback mechanisms the energetics of the ism and the dynamics of the first galaxies,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2015.1.01590.S,constraining the molecular gas content of normal star forming galaxies at z the goal of this proposal is to unveil the nature of normal main sequence star forming galaxies at ,"[0.0, 0.0, 0.45454545454545453, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01592.S,unveiling the nature of an extremely low luminosity red yso detected in the aca imaging of rho oph c forming phase of very low mass brown dwarf at the planetary border the formation of low mass substellar objects low mass brown dwarfs bds near the planetary border and planetary mass objects pmos is one of fundamental unresolved problems in star and planet formation observations and theories suggest that such objects are also formed in isolated cores in the same manner as stars however the clear evidence for isolated proto bds pmos is lacking this prevents us from understanding the formation of stars and substellar objects by means of some unified scheme such as cloud fragmentation and also understanding basic physics undelaying the link between imf and cmf especially near the low mass end our recent cyc observations aiming at revealing the low mass end of cmf in the rho ophiuchus regio detected mm emission toward an extremely low luminosity flat class ii yso analyzed sed suggests that it would be a candidate proto bd or proto pmo still embedded in a very low mass envelope core another interpretation is a very young bd pmo accompanied by highly flared disk we propose band follow up observations to unveil the nature of source and investigate the formation of substellar objects together with the cyc observations,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01596.S,disks around o type stars the w complex there has not been a clear detection of a keplerian disk around an o type forming star so far which led to suggest different accretion mechanisms for the most massive stars we propose to use to map hot molecular gas towards two well known high mass accretion disk candidates in the w complex previous interferometric observations revealed ordered structures of accretion on scales au but poor angular resolution and high opacity of the targeted molecular lines prevented to penetrate the innermost regions au where keplerian rotation is expected in cycle iii can now provide three key elements to overcome previous limitations the resolution to resolve the innermost au from the central ysos at kpc the correlator flexibility to tune several transitions at different excitation from the same molecule and the sensitivity to detect optically thin weak emission from its isotopologues this combination will allow us to probe the kinematics and physical conditions of hot gas as a function of radius au from an o type yso and to address the following key question are there keplerian disks around o type young stars,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01597.S,measuring velocity structure of mhd wind from a protoplanetary disk we propose to observe line transitions of ci cn and co at bands and with high velocity resolution and high sensitivity in order to measure velocity structure of the mhd wind from a protoplanetary disk around tw hya recent mhd simulations suggest that angular momentum transfer and mass accretion in the disk surface will be induced by magnetocentrifugal wind rather than magnetorotational instability our observations of a disk wind will give us information on mass accretion mechanisms which is essential to understand gas dispersal from the disk and then planet formation processes the wind velocity is not easy to measure since it is small compared with the keplerian rotation velocity here we propose to detect the disk wind velocity using pdr species ci and cn as disk wind tracers and co as a tracer of keplerian rotation the difference in the maps of intensity weighted velocity field between the lines give us clear evidence of the disk wind in addition the difference in the maps of intensity weighted velocity dispersion will show the radial distribution of wind velocity and give us information of how angular momentum transfer is controlled in the disk surface,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2015.1.01600.S,survey of gas evolution in herbig ae population giant planets are more frequently found around stars more massive than the sun and yet our current knowledge of planet formation around intermediate mass stars is built upon mid and near ir surveys probing the distribution or lack of material in the terrestrial planet formation zone observations probing the outer disc regions where giant planets are thought to form are heterogeneous biased towards the brightest discs they mainly probe the dust and some probe the gas in the disc surface our proposal aims to constrain the largest missing piece of the puzzle the gas in the disc midplane our proposed co isotope observations are designed to systematically compare the midplane gas densities in the unfrozen disc midplanes up to au in a large sample of intermediate mass herbig ae stars covering the full range of observed disc properties we will look for correlations between the gas density in the giant planet formation zone and a variety of tracers of both the inner and the outer disc to be used as a beacon for the development of gas dispersal theory in these stars,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.1.01602.S,where are the missing stars quasar hosts with extreme stellar mass deficit at z and the co evolution picture the physical mechanism of the blackhole host galaxy co evolution is one of the most important questions in astrophysics we propose to observe a unique sample of quasars with extreme stellar mass m deficit compared to the measured blackhole bh mass at z the peak epoch of the active galactic nucleus accretion history these quasars are drawn from quasars at z whose host are studied with subaru ao assisted imaging while we detected stellar components for most the quasars proposed here have x deficit in bulge m compared to the bh mass which can serve as a testbed for the co evolution mechanism we expect a substantial amount of gas to be present in these hosts but not yet formed enough stars for a massive host galaxy and hence the extreme co luminosities that will allow spatially and dynamically resolved co lines observations together with our sensitive m limits we will use the gas and dynamical mass estimates to either confirm that these hosts will be able to move onto the well established local bh host scaling relations or if the gas content is too low indicating that mergers and or gas inflows have a major impact on their evolution,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2015.A.00009.S,cii line emission in a normal galaxy at z one of the most outstanding questions in galaxy evolution today corresponds to the formation of the first galaxies during the epoch of cosmic reionization a key step is to identify and secure spectroscopic redshifts for these galaxies here we propose to use to unambiguously confirm the most significant cii line emission candidate at z discovered in our mm spectroscopic survey of the hubble ultra deep field hudf these hr on source observations will allow us to set the record distance for cii line emission in a normal galaxy and enable detailed studies of the ism well into the reionization epoch it is now the ideal time to conduct these observations while in compact configuration waiting for confirmation in cycle would put this exciting discovery and potential follow up observations higher resolution imaging other spectral line diagnostics to halt for at least years,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.A.00013.S,a radioactive molecule in a stellar merger remnant in recent observations of the historic eruptive variable ck vul we detected two emission lines of alf i e aluminum fluoride with the radioactive isotope of al this is the first direct detection of a radioactive molecule in astronomy we propose to obtain complementary observations of a third line with this observation will confirm our identification and make our excitation analysis of alf emission more reliable the detection of alf will greatly improve our understanding of the peculiar chemical composition of the circumstellar material of ck vul which is most likely a product of a stellar merger from yr ago it will also shed light on the origin of gamma ray emission attributed to al decays and observed towards the galactic plane,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.A.00015.S,coordinated observations of venus middle atmosphere with and akatsuki the japanese venus orbiter akatsuki was successfully inserted into the venus orbit on dec and regular science operations just started in march this observation is proposed as a coordinated ground based program to complement the akatsuki radio science rs experiments we aim at revealing the thermal structure together with the co distribution and wind of the dayside hemisphere of venus middle atmosphere which is not well understood from past observational studies conducted at much lower spatial resolution simultaneous band co and co observations will enable us to constrain the thermal structure at altitudes km a vertical range that complements that of the temperature profile sounded by akatsuki rs akatsuki rs can measure the temperature profile only at very localized areas and therefore the high resolution mapping capability of will also be a strong support for interpretation of akatuski rs data in terms of horizontal variation dates of akatsuki rs operation are restricted by the spacecraft s orbit the period from march to early may in is the best providing a unique opportunity to conduct collaborative observations using,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.A.00018.S,oiii line kinematics of a lya emitter at z we have detected the o iii micron line from a z lya emitter lae with a sigma significance with band observations in cycle the current data also show marginal sigma red and blue shifted high velocity components around the line we here request additional band observations of the line for the following two aims to confirm the high velocity components and to examine whether the components are explained by a rotational motion or outflow inflow this program will be the first study of kinematics in laes in the reionization epoch about a decade prior to studies using ultraviolet metal emission lines with elts since it has turned out that the observing chance for this lae with a spatial resolution is much less in cycle than in the rest of cycle we urgently propose this program as a ddt one in cycle ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2015.A.00021.S,sgr a multi wavelength monnitoring the accretion flow onto the galactic center supermassive black hole sgr a generates a fluctuating source of e m radiation that has been detected at all observable wavelength domains including radio submillimeter near infrared nir and x ray the rapid fluctuations min likely originate in the innermost regions of the accretion flow despite many attempts to clarify the correlations between the light curves at different wavelengths through observations with ground based facilities there is still no conclusive understanding of the variability recently new pointing models have allowed the spitzer telescope to observe sgr a for continuous hr periods with a s n similar to that of ground based ao supported m telescopes we have successfully organized a major multi wavelength campaign including simultaneous hr observations with both the spitzer and chandra space telescopes in july supplemented with observations from ground based observatories including the sma with this ddt proposal we seek to include for extending the time coverage in the sub mm which is a particularly important wavelength regime for constraining the physics of the emitting region,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2015.A.00022.T,measuring the luminosity of an detected accretion event in the massive protostellar cluster ngc i our cycle observations of ngc i at and mm have revealed that one member of this massive protocluster mm c has increased its dust emission by a factor of compared to earlier observations with the sma at mm and the vla at mm this increase suggests an episodic accretion event in which the luminosity has increased by a factor of it is critical to observe it again as soon as feasible in order to constrain the variability timescale and luminosity we choose band because it is the only wavelength for which we have a pre burst detection sma mm and dust is the dominant emission mechanism for this source non detection at mm for an accurate measurement we need sufficient angular resolution to resolve mm c from the other cluster members and match our existing mm data fortuitously this is attainable by the current and remaining configurations of cycle to our knowledge this is the best observational evidence of episodic accretion in a high mass protostar to date the verification of such a large rapid,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.00005.S,the evolutionary conundrum of the superwind phase of oxygen rich asymptotic giant branch stars our understanding of the late stages of evolution of solar mass stars on the asymptotic giant branch has been challenged for over years the hypothesis was that a high mass loss rate superwind of several solar masses per year lasts for ten thousands of years and allows these oh ir stars to evolve into white dwarfs however recent modeling of single dish sub mm and continuum far ir observations predicts much shorter durations for the superwind phenomenon this implies that these stars need to lose several solar masses by means other than one superwind alternatively another mechanism could be destroying the diagnostics commonly used to study the superwind at closer distances to the star than expected e g enhanced photodissociation of co by the interstellar uv radiation field we propose a study on the superwind of the oh ir star oh by measuring the spatial distribution of co and dust emission we constrain the mass loss history and co photodissociation radius using s unprecedented sensitivity and spatial resolution we can conclusively distinguish which of these two processes is the main cause of the appearance of the small sized superwind,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2016.1.00007.S,full synthesis imaging of the afgl spiral pattern deriving binary properties we have confirmed the presence of a very well defined spiral shell pattern in the circumstellar envelope of the extreme carbon star afgl in co co and hc n these data from our partially executed cycle program while preliminary provide tantalizing hints that the orbit is non circular and that the dust and gas are strongly coupled we request cycle observations to complete our program in order to robustly determine the binary stellar and orbital parameters for afgl the spiral shell patterns trace the history of binary motion and therefore have potential in resolving the puzzling coexistence of long period ring patterns and bipolar structures found in many planetary nebulae a detailed study on the archetypal spiral pattern of afgl is prerequisite for broader application of binary theory to the late evolution of giant stars and planetary nebulae,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00010.S,resolving gmcs using co absorption toward compact qsos directly behind the mw disk we propose an absorption study of the internal structure of gmcs and molecular ism in the milky way mw in co co and c o j and transitions can provide the highest spatial and velocity resolutions by utilizing two compact qsos milliarcsec au at kpc directly behind the mw mid plane b deg and detecting the absorption at the sound speed resolution km s for the cold molecular gas the lines of sight of these qsos cut through gmcs across the mw providing a good sample of typical gmcs in the mw we will detect the theoretically predicted yet unproven smallest molecular structures within the gmcs across the mw measure the variations of gas column density temperature and co isotope ratios in the typical molecular ism across the mw disk with unparalleled precision and search for the diffuse extremely cold co gas possibly not excited for emission and thus potentially missed in the previous emission studies,"[0.0, 0.0, 0.5714285714285714, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.0, 0.0]"
2016.1.00012.S,extended star formation in the brightest unlensed submillimeter galaxies distant smgs represent the most massive of the young galaxies rapidly building up their mass in the early universe their importance in terms of understanding the cosmic stellar mass build up history is amplified if they represent the pinnacle of the cosmic downsizing phenomenon we have obtained ghz continuum images at resolution toward three unlensed submillimeter galaxies during cycle of with a primary science goal to investigate the detailed spatial distributions of dust in the intrinsically most luminous smgs as a direct test of how such extreme starbursts can be fueled and sustained we found that the morphology of dust in the central kpc is highly complex with extreme star formation properties that are comparable to or exceeding the eddington limit for starbursts we have also found that the amount of missing flux is extremely high compared to lower resolution sma images which suggests that the bulk of the star formation is in fact taking place in the extended disk here we propose hours of cycle time in the c configuration to recover this missing flux and to properly image the dusty star formation activity beyond the central kpc,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.00017.S,first mapping of the b fields in the protostellar jets near the launching point protostellar jets are believed to be the key to removing excess angular momenta from accretion disks allowing material to fall onto the protostars during the star formation in current jet launching models magnetic fields b fields are required to launch and collimate the jets and thus expected to be helical in the jets our previous attempt to map the b fields in the brightest jet in sio with the submillimeter array has shown a tentative detection of polarization in the outer part that could be due to helical b fields with we propose to zoom in and map the b fields in the inner part of the jet near the launching point within au of the source in sio at higher angular resolution with unprecedented signal to noise ratio by measuring the pitch angle and the strength of the b fields we aim to determine how efficient the b fields can accelerate and collimate the jets setting the first constraint on the role of the b fields in the jet launching models,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 0.45454545454545453, 0.0, 0.0, 0.0]"
2016.1.00021.S,resolving the molecular gas within pc of m s supermassive black hole the proximity of m c the archetypical giant elliptical radio galaxy at the centre of the virgo galaxy cluster presents a unique opportunity to investigate in detail the circumnuclear molecular gas revealed first by co j observations with the iram m and more recently imaged for the first time with this team s cycle data the preliminary results from the data show that the molecular gas is unresolved and resides within pc of the supermassive black hole smbh resolving the molecular gas for the first time is now possible with s long baseline capability we were awarded time in cycle to do this but unfortunately observation of the project was not completed and so we wish to resubmit this proposal for cycle with this cycle proposal we therefore wish to obtain pc imaging of the co j line to unambiguously resolve the molecular gas structures for the first time allowing us to investigate the nature and origin of molecular gas that resides within the sphere of influence soi of the smbh in unprecedented detail,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00023.S,in search of the high hcn hco ratio origin in agns sio imagings of seyfert galaxies down to pc scales the origin of hcn enhancement in agns which can be seen in high hcn hco ratio is still far from well understood now reveals much higher hcn hco ratios found in the circumnuclear disks cnds rather than the exact agn positions which raises a scenario that hcn is enhanced by mechanical heating such as shock of jet outflow from agns mh scenario the immediate objective is thus to verify the mh scenario by revealing the distribution of shocked gas at high spatial resolution down to sub cnd scale here we propose unprecedented pc resolution imagings of sio j line a good shock tracer toward the two distinct cnds of nearby seyfert galaxy ngc and ngc we aim to achieve the following science goals which will be observational evidence to verify the mh scenario do sio and hcn arise from the same regions in the cnds we will confirm whether the distribution of sio and hcn have spatial correlation or not regardless of agn activities of these galaxies if so are sio and hcn really enhanced we will then compare sio h co and h cn h co ratios to confirm whether these are enhanced at the same region found the above science goal,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00026.S,mapping the wind structure and kinematics of the agb star ep aqr ep aqr is one of the nearest mass losing agb stars for which previous data show a bipolar outflow observed almost pole on in addition to evidence of discrete shells in the circumstellar envelope will be used to reveal the d structure of the circumstellar shell and resolve the close environment of the central star where the wind is accelerated and where the bipolar outflow is initiated the high quality of the imaging in the co and lines will provide a global description connecting the inner and outer regions of the envelope and will allow us to perform a quantitative comparison with the models that we have already prepared we propose to use the m array with baselines up to km to observe ep aqr in band with a point mosaic for a total of h and in band with a point mosaic for a total of h in addition aca will be used to recover short spacings in band h furthermore we request a single pointing in band with an extended configuration of the m array h we will thus be able to connect the different regions of the stellar wind of this proto typical semi regular variable allowing us to get a global picture of the outflow,"[0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]"
2016.1.00027.S,co vs ci in henize we propose a comparative study of co and ci emission in henize the first dwarf galaxy discovered with a supermassive black hole atomic carbon ci is an alternative tracer to co of molecular gas that has received increasing attention in recent years the ground state fine structure line ci at ghz has shown to be a good tracer of molecular gas in galactic giant molecular clouds gmcs where a linear correlation has been found between ci and co isotopologues ci and co have also been found to coexist in external galaxies e g gerin phillips yet due to the poor transparency of the earth s atmosphere at ghz studies of ci in external galaxies are rare but with s remarkable sensitivity we can conduct extragalactic ci observations in a reasonable amount of time we propose to observe the starburst dwarf galaxy he in both ci and co with the objective of doing a detailed comparison of the molecular tracers and the gmc properties we expect to identify at least co and ci gmcs this would be the largest systematic study to date which compares co and ci in the same dwarf galaxy on a systematic basis,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00033.S,a bipolar outflow of cit introduced by an eccentric long period binary preplanetary nebulae ppne are short lived but important objects for understanding the transition between the asymptotic giant branch and pn evolutionary phases recent molecular line mapping observations show that an increasing number of ppne consist of outer near spherical shell arc patterns and inner highly asymmetric bipolar multipolar structures these features imply the simultaneous and puzzling presence of wide and close binary interaction our favored hypothesis is the presence of eccentric binaries at the center of these ppne we propose an study of the carbon star cit that displays both a spiral shell pattern and a nascent bipolar structure to test our model our previous sma observation have shown hints of an eccentric orbit binary through the possible presence of one sided gaps and an inner double spiral our proposed high angular spectral resolution and sensitivity study will enable us to characterize crucial observational signatures for our model including the double spiral which was patchy and debatable in the sma map kinematics of the bipolar structure and the physical conditions of the arm and interarm regions,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2016.1.00035.S,nuclear spin ratios as clues to the origin of deuterated ammonia ammonia and its deuterated variants are among the very few tracers of the physical and chemical conditions inside prestellar cores where stars and planets form to fully exploit observations of these species one should understand their formation with this aim we wish to determine the spatial distributions of the ortho para ratios of nh d and nhd in the starless core ophiuchus h mm nh d and nhd are supposed to form primarily in the gas phase in reactions which should lead to clear deviations from the statistical ortho para ratios and previous single dish observations are however consistent with statistical spin ratios which are characteristic of grain surface production because of a lack of spatial information one cannot exclude the possibility that the ratios deviate from statistical values in core centres where gas phase reactions most likely dominate the proposed mapping with aca aims at resolving this issue different spin ratios in the inner and outer parts of the cloud would imply different formation mechanisms in these regions whereas similar spin ratios everywhere would indicate that the current gas phase reaction scheme needs to be revised,"[0.0, 0.0, 0.5789473684210527, 0.0, 0.0, 0.0, 0.42105263157894735, 0.0, 0.0, 0.0]"
2016.1.00039.S,measuring the masses of vellos understanding how protostars gain their mass requires knowledge of their current masses and mass accretion rates quantities that to date have only been probed indirectly through protostellar luminosities at the extreme end of the protostellar luminosity distribution are vellos very low luminosity objects protostars with luminosities less than or equal to lsun vellos with luminosities x below those expected for accretion onto even substellar objects are challenging to understand they must feature some combination of very low masses and very low mass accretion rates but as neither quantity has been directly measured to date their physical nature remains ambiguous we propose high sensitivity high resolution c o observations to characterize keplerian rotation in the disks surrounding these protostars definitively measure their masses and test recent theoretical predictions that vellos must be extremely low mass protostars we will also obtain simultaneous observations of co co so h co and the continuum to obtain alternative disk tracers constrain recent outflow activities and study the density structures on very small scales,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00051.S,agn feedback and molecular line flux ratios in dust gas rich ultraluminous infrared galaxies although scrutinizing deeply buried agns in merging dust gas rich ultraluminous infrared galaxies ulirgs is very important to understand how supermassive black holes grow in mass in the early universe it has been hampered by large dust extinction molecular line flux ratios in the almost dust extinction free sub millimeter wavelength range can be a powerful tool for this purpose because an agn and a starburst have different energy generation mechanisms and so feedback to the surrounding molecular gas can be different based on pre and our cycles and observations it is argued that enhanced hcn emission is a good agn indicator however its effectiveness is not fully verified yet because some exceptions exist we propose observations of nearby ulirgs with isotopologues of hcn hco and hnc to estimate flux attenuation of hcn hco and hnc by line opacity our ultimate goal is to establish the most solid energy diagnostic method of dusty ulirgs based on line opacity corrected intrinsic molecular flux ratios s high spatial resolution high sensitivity and stable spectral baseline are crucial for the success of this experiment,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00053.S,turbulence sets the initial conditions for star formation we have identified a cold dense high mass molecular clump g that is likely a progenitor to a high mass cluster with a turbulent mach number that is intermediate between those measured in the galactic disk and the extreme central molecular zone of our galaxy g represents an excellent clump in which to test turbulence theories that make predictions for the gas distribution before star formation has begun we propose to obtain a mm mosaic of its dust continuum and line emission to determine the cloud to core scale column density distribution and gas kinematics with the dust continuum observations we will test quantitative predictions of turbulent theory specifically the shape mean and dispersion of its column density probability distribution function and the theorteically predicted environmentally dependent volume density threshold for star formation additionally with the line observations we will investigate whether individual cores are gravitationally bound confirmation of these theories would demonstrate that turbulence dominates the initial gas structure in cluster forming clumps,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00057.S,observing the inner wind of the circumstellar environmnent of ep aqr the co emission of the oxygen rich agb star ep aqr shows a composite nature with a broad feature superposed by a narrow central peak additionally it has been shown with emission maps on offset positions that the source of this peculiarity is extended such a dual constitution is a clear indication that the outflow of ep aqr deviates from spherical symmetry four possible scenarios can generate co lines with such an appearance a dual wind scenario a large face on keplerian disk a small edge on keplerian disk or a face on narrow spiral we aim to investigate the inner wind of the dusty outflow of ep arq in order to be able to differentiate between these scenarios observing the inner winds of an objects showing a clear deviation from spherical symmetry will provide answers to the prevailing local dynamics generating these structures which in turn will shed light on the morphological missing link between the spherical early agb phase and the very non spherical planetary nebula phase,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
2016.1.00065.S,probing the dense gas with hcn in four spt lensed dusty star forming galaxies at cm molecular gas it is not known however whether this is due to such systems simply having very large overall molecular gas masses or whether in fact their dense gas mass fractions are unusually large here we therefore propose to observe the hcn transition a bona fide tracer of the cold and dense gas associated with star forming cores towards five lensed dsfgs at z selected from the south pole telescope spt sample the sources were selected so as to have existing observations co co co ci ci cii with these data we will infer the relationship between dense gas and star formation as traced by hcn and ir luminosity in extreme starburst at high redshifts compare hcn with other tracers ci co to determine the density distribution of the gas check the concomitance between dense and diffuse gas in our targets search for additional dense gas tracers hnc cn hco cs in the same spectral windows,"[0.0, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
